userName,komentar
wil rhizee,"cara mengemudi yang nyaman,ramah tamah dan sopan"
disa offisial,sangat baik drivernya sukses terus..aamiin
Gilang panjalu,driver ramah dan sopan
Naura Putri,abang nya ramah tks tingkatkan terus pelayanan nya maxim
Black and white Collection,kerennn 🌟🌟🌟🌟🌟
Andi Rahmat Alimi,baik ramah cepat
Nizam mujahid al haidar 2B,pelayanan baik.. harga terjangkau...
Aivan Ivan,terbaik pokonya dan sangat membantu
Aries Sukoco,ook
Aie Riesky,driver ramah
Agustina Aso,sangat ramah☺
Indrawati Sianturi,sampai tujuan dengan cepat
Frogman Zeedekh,good😊
Liana Nuha,oke
Back hangoluan Siallagan,Sangat memuaskan
andra pujangga,sangat baik
Ria Octavia,👍👍👍
Adhika Chandra,luar biasa
Hendra Setiawan Usman,"antar makan dengan durasi waktu yang cukup cepat, terima kasih"
Nocah Hofifa,aplikasi nya sangat membantu untuk saya
Ilmi Qayyumi,"Lalot bngt, lagi urgent ehh malah eror gak mau ngirim kode"
Mariayanti Simur,keren dan bagus serta ramah ongkos
Ogip 123,alhamdulillah sampai tpt wkt.sehat trus abg nya dan dilancarkan rejekinya.aamiin
Rendi official,puas
Roy Wijayanto,lebih tingkatkan
elsa anggara,"terimakasih,,udah sangat terbantu"
wandi motovlog,bagus
Rizal Kurniawan,mantap
Dian Sudrajat,terbaik
Masrudin 09,"terima pa, perjalan aman dan nyaman"
Syarif udin,driver nya ramah baik
Evi Nurdin,Drivernya Ramah ☺️
RIDWAN MULANA,sangat ramah dan mengemudi sangat baik
Suriani,"sopirnya baik banget,HP saya ketinggalan tapi dikembalikan.terimaksih pak sopir,berkah slalu 😇🙏"
Fitriyani Rahmawati,lumayan untuk pertama kali
Fitti Arti,"akhirnya anak saya samai juga di kampus , terima kasih"
RRQ fauzan,baguss
Farhel Nofrima,Alhamdulillah Driver nya sangat ramah semoga rezeki nya banyak dan berkah Aamiin
RUDIANTO RUDIANTO,orang baik
Thinsi Mangiding,baik
Comeng Campervan Family,sangat baik
Santi Anggra,terbaik
Aizz Channel,om sopirnya ramah ☺️👍
Ikam Kada,Semangat terus pak
Heru Kurniawan,good job
Rully Rulvy,👍
romadhon suaidy,mantaf
Annisa Chasanah,Driver aneh2
Aldy Rizal,good driver
kelvin alamsah,Aplikasi gajelas lama
Martinus Buulolo,sangat puas dengan mas supir nya
Youtubenya Rudy,Bapak Ojol Penyabar
Jevri Hermano,driver sangat baik dan bersahabat
Elsa Apriliyanti,sangat puas dngn pelayanan mksim ini pengemudinya jg ramah
Tina Yusri,mantap
Muh Rahmat,nice
Arisa Sari,mantap
switch jack,sangat membantu banget aplikasinya
Al Juan,ok
Prastio Dinata123,orang yah baik dan sabar 😊
yudha Santi,top
Oppo A54,aijia mantap kopi nya mantap rokok nya luarbiasa driver paling ganteng se singkawang
rayendra maison,mantap
Yana Supriatna,Driver ramah
Aleta Banoet,Sangat baik
Apriansah Syah,dreiver ramah dan sopan
Rahman Rahman,"Yth. Developer Mohon aplikasi dilengkapi penilaian kepada driver dengan menggunakan bintang, misal pengemudi tidak profesional maka kami pelanggan bisa memberikan bintang rendah sehingga pihak perusahaan bisa memberikan peringatan kepada driver, saya naik mobil di kota Tarakan sopirnya merokok dan ac mobil tidak dinyalakan. Ini sangat tidak nyaman."
Zahra lisa,terdepan
Edi Gombloh,ok
Amalia Nilam,"jasa online bapaknya baik, terimakasih"
Hardiyanti Itung,baik
Aunty Rusnah,tepat waktu
Masnur Safitri,terimakasih telah mengantar dengan selamat
Siti Nuraeni,mksh pak udah tepat waktu
Deni Firmansyah,mantap cepat pelayanan nya
Achmad Akbar,"Cari Drivernya susah, jaraknya jauh jauh. kurang bagus deh"
Saya Monko,okey bagus kok baik drivernya
Amirudin bin Katma,nice
Firman Syah,Sangat membantu disaat butuh diantar cepat
Eunike Desita,pelayanan transportasi online terbaik
sunda saalamraya,ribet x daftar nya sekarang pake pilihan gambar knapa g langsung frivasi kartu aja
Nastusha Leona,"murah meriah. tpi kalau ketemu driver yg gk sbr yg gk ketemu orng nya muter"". terkadang cembetut aja pasti minta di lebihin 🤣 tpi bagus kok. terjangkau dengan kantong"
muhamad junaedi,makasi
ifa ifa,bintang 5 Yee
Rival do,mantap
Nyimas Pratiwi,Jika maps sudah terpenuhi dan lengkap buka juga untuk daerah kepahiang dan curup Bengkulu. Jalankan promosi lagi
Juanda Aswandi3,"Mohon diperbaiki Loginnya susah, cuman melalui nomor telepon jika ga ada sms kode login jadi ga bisa masuk sama sekali"
Choirudin,cepat dan driver santun
endah ds,"pengiriman cepat,barangnya aman"
putry Sekar ayu,"sangat baikk, pak helm nya ketinggalan saya taruh di bengkel tadi bapak jmput"
IKU BAKA,"Saya sering sekali menemukan ojek yang plat nomornya di aplikasi dan di motornya beda, di daerah makassar, itu membuat saya terkadang bingung dengan maxim, tolong di perbaiki lagi sistemnya takutnya terjadi hal yang tak di inginkan."
Wijayanto Budi Prasojo,pelayanan yg bagus 👍
Yorex MC,Kurang respon pengemudi ketika saya yang pesan.
Opek Akun,mantul
Hafizh Aja,ok bgeet
iskandar al hafizh,driver ramah
Aldi Saputra,pengemudi nya ramah
Delonk Kebumen,ok bang makasih baik loh
De Ling,ok
Angky Engkoz,pelayananya bagus +komunikasi yg nyambung
Syafrizal Junierdi,mantaplah
johan wahyudi,mantapppp
Zahra Aziz,sangat membantu mas.terima kasih
Wiwin Amel,maaf saya udh d jmpt kluarga
Vikaa Aprilia,bagus sekali
Rumsita Ruslan,ok
Avidz sakafarma,Driver sangat baik
Dimas Saputra,Ga jelas SMS nya ga ada gimna mau daftar
Pri Priyanto,Bagus good
Dellon Crystanto,sangat baik
Astri Novita,"Pelayaran Mas MAxim nya sangat baik, sangat membantu sekali 🙏"
Bagus Wahyudiawan,Good
Morgan Betta,pengemudinya baik
Candra Tobing,Memuaskan
Hokop Pasaribu,"driver ganteng,,sungguh baik,"
EjetGeming,cepat dan murah 🤗
Gass NoLimit,"tolong ya riwayat pesanan itu di adakan,kejadian tadi tunangan saya melapor ke saya.driver melecehkan tunangan saya dengan menyapu pahanya ,mau di adukan tapi tidak ada riwayat pemesanannya,maxim mengecewakan"
Myranda Fernando,Tolong dong tambahkan untuk food dibayarkan diluan sama aplikasi biar driveri tinggal ambil pesanan makanan jadi customer tinggal bawa aja
Jhoniver Akbar,sangat ramah
Teguh 1928,sngat baik
Mar Yanti,mantull
Septian Dery,"ramah, tepat waktu, sesuai titik . sehat sehat masnya."
Awan Setin,Tolong iyaa di perbaiki lagi Padahal driver banyak tapi yang nyangkut jauh Aplikasi nya kurang rekomendasi bgt bikin kesel nunggu lama
Naila Aja,Bagus 💯
Sobat Yesta,orang yang sangat baik dan santun. terimakasih.
Fathima Zahra,murah tarifnya di banding sebelah yg ijo ijo
Gilang Febri,bagus
Rizky Fahlevi,"Keren, Tarifnya itu lho terjangkau"
Erik Bogell,sangat bagus puas dah
Vini Rahmadhani Rahman,sangat baik
Tini Mustafa,"Sangat memuaskan. driver sopan, helpfull"
Muhammad Adrian,baik Abang nya ☺️
ronaldy purba,good job.. thank you
Eko Purnomo,driver nya ramah .. jemput nya cepet ..trimakasih maxim..
Ahmad Bajri,terima kasih sudah membantu
rima rohima26 (Rima),Ga bisa lgsg terkoneksi ke maps kiriman konsumen.. jd ribet banget dipakenya
ade hermansyah,driver nya sangat membantu
Tatin Sumarni,good job
Bimo Ario Wibisono,oke murah
Tino 999,sangat baik
Alfarizie gw,simpel
Adisti Meysila,Apk yang bermanfaat
Yuli Yana,puas
Nono Suparnor,"map google penjemputan nggak bisa tepat, nomor driver nggak kelihatan, pas jalan map driver nggak ada."
Dimas aditya Putra,good luck
Zulaeha Idris,"baik supir mudah diajak bicara, dan tau jalan"
Acep Mulyadi,mantap
Dias Eka,trimaksih
Azka Elvan,"masyaallah pelayanan bapak tadi sopan banget, dan hati"" bgt dalam membawa penumpang. terimakasih pak"
Rossa Dacka,VERY GOOD
rossa ana,"Mas Driver nya Sopan ,baik &ramah.👍👍"
Ais,baik sekali dan ramah terima kasih sudah di antar sampai tujuan
Rastri Riswari Nugroho,Baguss
Dwi Widodo,membantu sekali dalam perjalanan
sri widatin,"sikap driver baik,rute tepat."
NEXT ON,Mantap..apk transportasi
Ali Maskur,ramah dan cepat sesuai harapan
Mey Happy's,membantu
riska putri,sangat membantu sekali dengan adanya maxim car ini dan tarifnya juga terjangkau 👍
Dina Aulia ramadhani,Bagus banget
Ittha Yuniar,Very good .. memudahkan kita ...
Riyo wahyu Safri,Aplikasi transportasi yang sangat bagus. Cepat dan jaringan nya sangat bagus driver nya juga baik dan ramah.
Ku Jajan,Terbaikkkkk
Rosailin Seni,Rama baik lagi
Andre Satria,Ada di setiap kota.... Harga terjangkau.. pokok nya mantap deh
Diana Azza,Sangat bagus
Moh Amir,VERY good
Rafli Abdillah,Aplikasi yang bagus
Prima grasa,Aplikasi maxim membantu kita dalam efesiensi proses transaksi...keren👍👍
Bucek Chan,ok..trima kasih
Vina Pratiwi Naiborhu,Good
Wulandari,sangat puas ramah sopan
Pattar Serizawa,good
Iskandar Syah,Recomended
Tri Fajar Firdaus,maxim dn Driver 👍👍
Ema Mira,ketersediaan driver banyak jadi gampang pilihnya dan juga terjangkau aman nyaman dan efesien
asmar khan,"Terimakasih maxim sudah hadir di kota kami, dengan adanya Maxim ini tranportasi kami lebih mudah untuk kepasar dan lebih capt sampainya"
Dinda Dewi,Aplikasi yang sangat bagus
Mila Farid,Keren banget
Nicky Tan,The Best Pokoknya
Hendar gumelar,Sangat suka
Awi Nawawi,Sangat membantu
Rhezky Bayularoez,Sangat memuaskan 👍
Adam ikwan,Garcep👍🏻
Sumiyarto Legowo,Good
Usnadi Sili,Solusi yang sangat tepat bagi yang belum memiliki kendaraan
Isolina Nunes,Keren aplikasinya mudah dimengerti dan sangat bagus
Rina Puspitasari,"Good,, very good,,"
Aminah A,Apk yang TDK bermutu
mahbub junaidi arish,"Good jooobbb, veryy good"
Arif Maulana,Aplikasi ojek online terbaik yang pernah ada 👍
Dinia Salsabila Iskandar,Sangat membantu mempermudah mencari transportasi dengan harga kantong pelajar
suci hadikhairani,Sangat membantu
Ihsan Doni Irawan,Very Good
Farhan Sidiq pamungkas,Aplikasi ojol paling murah pokonya ramah d kantong saya daerah sukabumi kemana mna suka pakai maxim
bayu nasmoco,Aplikasi sangat bagus.. recomendeed
Uliez Keona,"Sangat memudahkan untuk melakukan transportsi, sangat mudah dan murah"
Usman STV,"Pokoknya mantap mudah""aplikasi ini berjalan dengan lancar kedepannya 💪🫰👍"
Ruth Lestari,saya kish tip ke abang'a
Risma Lumbanbatu,Good aps
Zaenal Mustofa,Taxi dan ojek online yang ramah di kantong. Very recommended.
Faisal Tri Arfandi,Mantap aplikasi nya
Veronika Angela,Aplikasi sangat bermanfaat untuk orang yang tidak memiliki kendaraan
Dila,Sangat membantu kalau lagi tidak membawa kendaraan 🥰
Malaq Almawt,Aplikasi bagus
Ziyad ulwan,sangat bagus
Stepani Prisella,Sangat baik dan ramah
MUHAMMAD SATYA MAULANA,sangat aman dan cepat sampai tujuan
zola lombok photograph,mantab
Conny Donanti,pelayanan baik
Yemima katue,baik dan ramah sangat puas
Janghajirohman,terimakasih
Tika Maharani,"kurirnya baik mau anter paket segitu jauhnya dengan ongkos 10.000,terima kasih kang kurir"
SYAM LINGKARANHIJAU,"driver nya, cepat respon"
Ummu Muchfiatul Izza Chaidir,"baik, ramah,"
Radi Sapardi,terima kasih
Reva Yunita,bagus
Apk Game,"pelayanan cepat, murah ."
Siti Rositoh,harganya murah cocok untuk pelajar dan si pejuang receh😂
Damar Prabu,makasih bang
Sohibul 11,ramahh
Demas Demmasara,mantap
Monica Unyuk,drivernya baik bgt
아마드 샤릴,"Untuk order mobil sangat lama, apa karena argo sangat murah...untuk biar cepat mendapatkan drivernya cukup klik orderan prioritas nya"
Lilik Pujiyanto,luar biasa
Trans Aquarium,membuat hidup semudah genggaman tangan
Hary zhocool,gak bisa log in .lama masuk kode nya .
Aisyah Hanindiyah,Maxim keren 👍👍
Lina Nuzliah,"saya salah nentukantitik penjemputan, tapi mas nya tetep baik dan gak mau dibayar. terima kasih . maaf karena hp low bat saya buru2 ngetiknya. 🙏🙏"
Hafid Adiyatmoko,Terimakasih pak guru hehe & take care
Rahmat Zikri,makasih
Parti Parti24,pelayanan sangat ramah.
Al Zikra,TOP
Moms Ruth,good
Jaka wonk londo chennel,amanah terpercaya
Dea,"Mohon untuk ditindaklanjuti kepada para driver, blm juga naik Maxim dahh ditagih uang,pas gw dahh naik sampe kampus udah dibayar,ehh dia nagih lagi uang sekitar 15k langsung kermah gw. Padahal gw dahh bayar,Dengan cara marah², pdhal gw udah bayar di kampus dia minta lagi sejumlah uang itu.. kok bisa sihh mereka lulus seleksi jdi driver,mna bawa motor kagak bener hampir nyerempet motor orang 🤧😭😭 gilakk sihh gak habis pikir nyesel,kshan Ama bapak gw yang dimarahin pdhal udah dibayar juga"
Masita Sita,Mantap dan akurat
Cove Town,mantapppp
Arif Mulyana,pengemudi Sangat ramah dan asyikkk
Ika Sari,sangat bagus.saat hujan deras angin kencang.diantar sampai tujuan.perlu d contoh
Sugi Anto,tks bro
Abdillah Sahabuddin,memuaskan
Alif Maulana,pokoknya rekomended
Tina Astina,puas pak sopir ramah
Nadira Balqis3,mudah2an selalu ramah
Desmariza SKMMPH,good
Yusuf Indra Permana,mantap
Muh Afdal,sangat baik
Fauziah Khairat S,baik dan ramah
Ono Afriandi,mudah2an bs d prthnkn apk y krn sngt mmbntu
pltd sera,terima kasih bosqu atas perlayanan nya
yoyo ayo,driver good job
M Jayadi,jangan lupa sholat 5 waktu
Ahmad Sayidi,Pelayanannya bagus memuaskan...
Andy Ladesi,driver sudah tua tapi masih energic dan ramah dan tidak mengenal menyerah salut...sakjosssse
Ronaldo C7,mksh udh mengantar smp tujuan dgn selamat
Halimah Ardani,"penjemputan cepat, sopir ramah dan sopan"
yanti manise,Mapnya gk lengkap seperti gojek ..masak maw ke MTSN 9 Wates map e g muncul sedangkan d gojek langsung muncul dan bisa d klik ...tolong d prbaruhi lagi ...murah plus map lengkap baru ok
Oktho WD,tetap bersyukurlah apa yg diberikan tuhan percaya akan indah PD waktunya 😁🤣🙏
Hanipa Tulaminah,"sangat baik,, sopan"
Herman Tantori,mantap pelayanan ny
Shafira,Katanya Klo teman downlod oake kode kita dapet bonus 100rb.. Ini engga sama sekali.. Bohong berarti ..
Pandu Bagoes Setyo Pamboedy,ramah
Rosa Saja,puas nyaman
Heri Purwanto,terima kasih bang 🙏
Isa aisah,terimakasih😊
Andhika Mahendra Dita,pengemudi ramah. terima kasih
Bang Yo99,Pencarian pengemudi terlalu lama
Ariani Wira,mantap
Hidayat Bakri,terimakasih banyak pak semoga lancar terus nariknya dan tetap semangat. pelayanan Maxim luar biasa. sukses terus buat Maxim dan pengemudi
ririn karina,Titik gak jelas
Putri Maria,sangat baik
Saiah Saiah,sangat puas
Indyrraa Sabily,"Apk terjelek sejagat raya cuy, maps aplikasi gak akurat, tiap saat minta di update, harga kadang berubah, banyak oknum gak jelas yg jdi drivernya ckck"
Husin Sopyan,Sangat memuaskan saya
Zam zam Samudra Hidayatullah,satset jos
Putraditya Adit,baik drivernya
Shety Wijaya,driver nya ramah 👍
Rofail Jimin,lumayan
Rian Ariandi,good
Kamandanu Aja,baagus
Muhammad Irfandi,baik dan sopan dan ramah sama penumpang
Gajah Grosir,good
Ferry Yandi,ok mntpp
Wayan Doli Sispala Nababan (Wayan Nababan),Mantap
Nys.Marlena Permei,driver suka gak nyalain AC .
Indameliana Sari,terimakasih bapak driver yang ramah tamah.
Dhasep Dhasep,mantap
Ichal25rewa Yakusa,👍
ANDREAS HUMAGA NEHE,sangat ramah
Listiadi Dwipa Surya,good service
Rini Setyo,drivernya ramah.
Murjani Murjani,tepat waktu👍
puspa ayu,"Jauh lebih murah dari aplikasi yg lainnya,drivernya yg ramah yg pasti cepet dpt drivernya"
karmila nusi,Pengemudi yg hati² dan baik
Sukinah Hermawati,bagus
Kartini Abdullah,sangat baik
driver gojek,semangat pak
Sucirton Pasuani,okkkk
rahmad afandi,sangat ramah 🤣🤣
Sri Waode,nice
Oktarita,ok. banget...
IMANS Dohöna,mantap 👍
Hajijah Anggriyani,puass
Wendi Wendi,ok
suci lestari,"pa ojolnya fast respon,,terima kasih smg sehat selalu dan dmudahkn rezekinya 🤲"
maskur abdillah,good
Hilal ku2006,mobil nya bersih drivernya ramah
Riyan Kembar24,sangat baik luar biasa. semangat
Tiara Ausame,bgs nyaman aman bersih
Bintang Langit,terimakasih teh.nya mas😊
Dwi Wanto,mantap
abdurrazzaq ibnu mursyid,mantapp
apendi 182,Baikk sekali
AGUSTIAN HADI,good driver
Muhammad Faruq ghazy,keren
Cindy,baik
syahlal maftuh,ramah
Sumiyati Kesra,driver nya klem..gak ugal ugalan.. mantap
NetayaShop,"Aplikasi sampah, ini kejadian ketiga yg kurang mengenakkan. Kejadian Pertama dan kedua. pembayaran di hp saya dan driver berbeda.lebih mahal di driver. Kejadian ke tiga tdi malam. Order food gak dapat driver. Mau tak batalkan gak ada menu batal.adanya ubah order. Eh pagi2 (jam 10-an)....datang tuh orderan"
Hady Sulaiman,drivernya baik penyabar semoga banyak rizkinya pak aminn
Tio Prasetyo,"driver sopan baik semoga lancar ya pak hati"" di jalan"
Alvin Qineto,Tarif terlalu murah.kasihan drivernya. Tolong pikirkan kesejahteraan mitra + biaya perawatan kendaraan. Gak nutup Cuuk....
Riak Supriadi,"terima kasih,aplikasi ini sangat memudahkan perjalan saya"
Panca speedlonerscilacap,"ramah,.."
MZA channel,mantap Fast respon driver na
vera Fitriah,MENDING APK SBLM WLPUN MAHAL DRIVER NYA OKE DRI PDA INI GA JELAS
anifikritata anifikritata,pelayanan baik cepat tapi berhubung hujan saya batal
Amsari Amsari,ok
Rafsan Arya Ghiffarie,Alamatnya yg ditulis tidak jelas
Rita Erviani,kurirnya sangat baik dan ramah
Tarasseng Rumbiak,𝚃𝚘𝚕𝚘𝚗𝚐 𝙳𝚒 𝙿𝚎𝚛𝚌𝚎𝚙𝚊𝚝 𝙿𝚎𝚗𝚌𝚊𝚛𝚒𝚊𝚗 𝙳𝚛𝚒𝚟𝚎𝚛𝚗𝚢𝚊 𝚜𝚘𝚊𝚕𝚗𝚢𝚊 𝙺𝚕𝚊𝚞 𝚖𝚊𝚞 𝚖𝚎𝚗𝚌𝚊𝚛𝚒 𝚍𝚛𝚒𝚟𝚎𝚛 𝚗𝚢𝚊 𝚝𝚑𝚞 𝚋𝚒𝚜𝚊 𝚋𝚎𝚛𝚓𝚊𝚖2 𝚝𝚍𝚔 𝚔𝚎𝚝𝚎𝚖𝚞2
Wiwik Wati,puas
Jhon senobaan peto,mantap
Liyanofita Lidiyawati,"Driver kurang ramah kasar dan selalu ambil jalur yg aneh jalur lebih jauh, gak jelas"
Dream Core,Iklannya porno desahan siapa sih yang buat itu hapus iklan itu sekarang bahaya untuk anak kecil. HAPUS GAK LU.
Sinta Wati,Alhamdulillah nyaman dan drivernya ramah
Bryan_1001_Channel,good driver
Natan Sabiq,Driver yg ramah dan bertanggung jawab
Asep Rohmana,"Aneh yg gw baru dateng ke makassar mau pesan online tpi di pencarian alamatnya sepertinya blm kumplit jdi alamat yg di tuju ga ada, beda sama gojek langsung ada di ada untuk tujuan di perncariannya ga ribet seperti maxis susah bgt."
Nor Azizah Nozy,sangat bagus
saifudin arif,"driver sangat ramah, kendaraan nyaman"
SANTO CHOW,luar biasa baik
X.E Mobile Legends,nice
Ayu Prahmawati,bagus aplikasi ini . cara daftar dan memesan juga gampang biayanya jga gak mahal . orang yang ngantar jga baik ramah
Haryanto Haryanto,mantap cepat sekali. drivernya jg ok
Warung Soto Seger Mbak Tinii,"drivernya gercep,ramah🙏🏻"
Ko Ko,baik
rosi Hartati5695,slh almat
merry saviah,"driver baik, sopan dan rapi"
YANA _18,Good Job
frans novlin,mantap
Henny Herlina,bagus
Arifah Shalihah,mantap mas
Anita Anita,pelayanannya sangat bagus
Melky and Friends,the best driver
Sandi Pratama,"GILA MURAH BANGET ANJENG,TERBANTU👍🏻"
Riama,"saya"" suka karna penjemputannya cepat,,dan Abang nya asikk😇"
Hadijah Us,ramah...penjemputan nya cepat
Bezo Soeyanto,good bagus sekalai baik
Viana Aspi,x lawa
Doni Hantri wahyudi,pengemudi ramah sehat sllu pak sugeng salam kagem utk kel
abu budi,"PELAYANAN MANTAP, TQ"
Firdausi Kamil,ramah banget
Rayhan Alfarizi,sangat membantu dalam melakukan perjalanan jauh
Muhammad Andan,mantap
Ahli Pijat,No Koment
Meidita Sari,good job
Althaaf Kiki,murah
ghina Elma Septiani,"sangat membantu api masih banyak daerah yang belum terbaca di maps,ayo tingkatkan lagi"
Andi Allink,oke
Ha He,"pengalaman pertama naik Maxim, driver ramah banget👍"
Juffan Burachim,sangat murah
Rantynovita Sari,sangat puas dengan pelayanan bapaknya bapaknya sangat sopan
Dodi Kurniawan,mantul
Devana Anggun,Maxim food nya susah bangett dapet pengemudi
Ujang Sudirman,manstap
Ihsan Sanx,mantap
Kartini Kartini,cepat sampai ya
Ariel Aryooo,bang driver nya baik ramah sekali makasih banyak
Silva Nur Fadillah,"E-wallet maxim kaspro nya udh di isi saldo ny tp ga bs di pakai pas order maxim nys pembayaran nya langsung dialihin sm apk ny ke tunai , kalo bs tambah fitur kirim saldo ke sesama apkny atau kirim ke rek bank kaya apk hijau, kecewa si syg bgt uang sy di apk ny tdk bs di pakai pdhl jaringanny bgs"
murni mulyati,oke
Putri amir,kesan pertama ramah dan baik👍👍
Didik Priyombodo,bagus
david gunawan,semuanya lancar dan harga juga murah
Alex Moses Atmowiyoto,berkendara dengan baik dan aman
Annisa Agniya,"Banyak yg harus diperbaiki, maps yg sering error dan pengemudi banyak yg ga ngerti sopan santun"
Novelina Yrsi,paket telah sampai...alhamdulillah pakai maxim lebih murah...top deh
Danisjh94 Silalahi,good
thoni irawan,"Mantapp, sat sett josss"
Dwi Saputra,cepat nyaman
IJOEL PETAMBURAN,driver ramah
Sofyan Sidik,cepat. ramah
Edo Juliasmi,"terimakasih pelayanan sangat memuaskan, mobil bersih dan AC masih segar"
Wldan Siol,mantulbanget
Reza Shahab,bagus
Muhamad Akbar,"mohon maaf helm tdk dtawarkan, jok licin,"
wiwit sucipto,ramah
Nila Lakuyarey1923,good
Raya Doet,secepat kilat
Adit Bungsugarut,ok
Deni Candra,very good
Ranti Murni,mksih
Desi Permatasari,bagus
Yunus Saputra,sangat cepat
Dussalam,"makasih udah antar ortu saya semoga banyak rejeki nya amierenn ,ttp semangat"
Rudi Harijadi,"driver nya sangat baik ,pengemudi nya jg sangat baik."
Rian Saputra,nyaman
Firman Setiawan,Mantapp
Vanz Priatna,mntap.
Daud Irawan,hatur nuhun pa......semangat
Ade Sadiah,terima kassih.
Ramon Adianto,"bapak drivernya raman dan baik , serta mau membantu bapak saya bawa barang terimakasih pak . semoga lancar rezekinya . top"
indra kusuma,Baik dan ramah
Raminto,Coba dulu aplikasix kata orang sih bagus
andi “X Jeruk5” rif,sangat memuaskan dan tarifnya murah
yosina fanmabi,baik
Kia Sandi,ok
Man Imanuel,sangat baik
Haris Spitze Channel,sangat membantu
Nurlin Aw,mantap cepat
Iffa Khairima,profesional
Mas Ramadhan Wasim,terimakasih kak.. semoga lancar 🙏
Kandil Ramelianita,ramah dan teliti
Natasha,terima kasih
Yeni Natasya,"mimiti naik maxim,siip"
litle sea,driver ramah 👍
Eko Novianto,sopan dan baik
Anima Putri,bpanya baik sekali ...maksh ya bapa🙏🙏
Harjon Molle,"tepat waktu, tidak lupa u konfirmasi via telpon oleh drivernya u pastikan titik jemput jangan sampai salah panempatan titik jemput oleh pemesan..."
qori hunter19,mantaab.. perjalanan lancaar
Krissh Saputra,pelayanan nya bagus .. ramah .. n tepat waktu
Raisa Barasi,Gak bisa membalas chat dari dariver. Tolong di perbaiki
Arifin Sentosa,makasih mas
Nico Yudira,driver nya asik
Amplop lebaran karakter Rukhan collection,maxim pelayanan sangat luarrr biasa bagus
Dewi Magfiroh,mantap
Yosua Oktavian,bagus pelayanannya
Dafa Mudlofar,baik
elin darnela,keren kali maxim
His mayati,Good
Asep Asep,bagus
fitri Yani,good
Imam prasetyo,pelayanan baik driver juga ramah
RicenJr,puass
Kina Kinu,"terimakasih.. dengan adanya maxim saya sangat terbantu. semoga panjang umur, sehat selalu dan lancar rezekinya semua aamiin"
Ariel offical,sngat cepat penjemputannya saya suka
Ach Set,good driver 👍👍👍
Seno Suseno,baik
Robertha Ngongo,ok
Agus Murtadho,Bagus
Zul Zet,Good
ari atawolo,driver nya pelayanan sangat bagus
Dear Arshavin,ramah orgny
Mita Ramayati,"cepat, tepat, hemat: HEBAAAT"
Blackpole,"driver cepat,sanagat puas"
Aldino Zendra,mantap drivernya
rosi dewi irawan,Sering berubah ya harganya...harga pesan 13rbu pas nyampek berubah...tolong di cek lgi ya
alvin joesander,luamayan
rikas danuarta fenska,sangat puas sekali********
Tuan adam,vamos
king gaming,cepet
Osriba,tepat waktu
Anis Nur Rufaidah,sopir ramah
Hendri Elfilis,"Sopan , responsif"
Bintang Pratama,pengemudi baik
Ali Lagoe,ramah
Pecuzz Sarbini,cepat
Achmad Muqoffi,trimakasih
Rusdianto Medan Mas,mantap cepat
IFRIYANDI 017,Baik
Joko Haryadi,Semangat mas nya
M Salman,mantap lah ..terjangkau dan tepat waktu
agung M,terima kasih
fahrul imami,murah dan cepat.sukses slalu buat maxim
Wida Gunawan,drivernya ramah..nyaman perjalanan nya
Evi Noviyanti,respon baik cepat sampai
Tomi Fadilah,Tepat waktu dan Ramah......Puas untuk jasanya.terimakasih......patut Diberikan Reward
Ikhwan Private,"MasyaAllah Alhamdulillah, driver nya baik dan harganya terjangkau"
Deslina Nita,trmksh karna penjemputan tdk lama dan pengantaran dg selamat
Baim alvaro,semoga murah rezekinya ya pak... terimakasihh
Suraida Sufandi,ok
Silfy Hana,ramj dan sopan
Dede Suryani,sangat baik
Edo Sanka,drivernya ramah
Oni Bernat Maradesa,Mantap
Deni Sugiarto,drivernya datang nya cepat...sopan dan ramah
Sofyan Arisandi,Gak guna supirmya banyak yang kiramg ajar
Gegana Laipose,sangat bagus dan ramah..
Tata Hirmayuresta,terimakasih.....
Amir Mahmud DICGWarehouse,Baguuuusssss
Andik Yudianto,cepat respon sampai tujuan. makasih mas Ardi driver Maxim sepeda motor.
Ririn Patma,drivernya gercep dan ontime banget
putera mandiri,sangat puas
Astuti Amir,pengemudinya ramah
muhammad nuruddin,top bingit
Rinaldi Aldi7788,luar biasa
tabb satria,ok cepat
Yosep Tetelepta,supirnya sopan dan baik
Visca Nikijuluw,baik
Husnul Khotimah,baik
Sukran Sukran,"Min driverr maxim di kota bima mana? Beberapa kali ngorder pake maxim nunggu nya lama, ujung ujung nya cancel karena ngak ada driver,,"
Joni Haryadi,sangat membantu
Muhammad Akbar01,baik
Fuzi Arianta,"makasih banyak om ,sangat membantu"
Steven Imanuel,bagus
Azumi Aqua,Puas dengan pelayanannya
Aswar Petruk,sangat baik
Buday Cs,"mantap driver nya ramah, 👍👍👍"
Sentot Tekad Raharjo,"Bagus, dipertahankan saja saya milih maxim dibanding tetangga sebelah"
Yoel Setiawan,Aplikasi ini butuh banyak banget diperbaiki supaya lebih gampang memakai aplikasi ini. Semoga bisa dilakukan segera.
Lia Saputri,"Saya tinggal ibu saya karna saya ada urusan, saya kasi uang 150 ke ibu saya tp ga di kasi kembalian nya sama driver nyaa,,,, ongkos 117 ribu ga nyampe 150 ribu tp ga ada kembalian nya ngeri²"
